Characters,BuffId,Skill Name,RoomType,BuffCategory,Skill Description
None,,Technical Cooperation,CONTROL,FUNCTION,"When stationed at the Command Center, production efficiency of all Craft Stations +7%"
Amiya,control_tra_spd[000],Cooperation Agreement,CONTROL,FUNCTION,"When stationed at the Command Center, order acquisition efficiency of all Trade Stations +7% (Only highest effect becomes active)"
Swire,control_tra_spd[010],Little Missy,CONTROL,FUNCTION,"When stationed at the Command Center, order acquisition efficiency of all Trade Stations +7% (Only highest effect becomes active)"
"Dobermann, Nearl",control_mp_cost[000],Competent,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05"
"Scavenger, Projekt Red",control_mp_cost[001],S.W.E.E.P.,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05"
Dur-nar,control_mp_cost[002],Snack Network,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05"
Executor,control_mp_cost[003],Cleanup Agreement,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05"
Reed,control_mp_cost[004],Substitute,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05"
Ch'en,control_mp_cost&faction[000],Ability & Integrity,CONTROL,FUNCTION,"When stationed at the Command Center, for every operative from Lungmen Guard Bureau in the Command Center, mood reduction per hour of all operatives in the Command Center -0.05"
"Lancet-2, Castle-3",power_rec_spd[000],Backup Generator,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +10%"
Shaw,power_rec_spd[001],Equipment Maintenance,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%"
Greyy,power_rec_spd[002],Static Field,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +20%"
"Lava, Ifrit",power_rec_spd[010],Thermal Energy·α,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +10%"
None,,Thermal Energy·β,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%"
Ifrit,power_rec_spd[020],High Temperature Recharge,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%"
Liskarm,power_rec_spd[030],Pulsing Arc·α,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%"
Liskarm,power_rec_spd[031],Pulsing Arc·β,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +20%"
Glaucus,power_rec_spd[040],Electromagnetic Charging·α,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +10%"
Glaucus,power_rec_spd[041],Electromagnetic Charging·β,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%"
"Yato, Meteor",manu_prod_spd[000],Standardization·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +15%"
"Steward, Vanilla, Perfumer, Jessica",manu_prod_spd[001],Standardization·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%"
"Silence, Ptilopsis",manu_prod_spd[010],Rhine Technology·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +15%"
"Silence, Ptilopsis",manu_prod_spd[011],Rhine Technology·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%"
Mayer,manu_prod_spd[020],Mibo·Production Model,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +30%"
Fang,manu_prod_spd_addition[030],Impatient,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +20% for the first hour. Thereafter, increase by +1% every hour, capping at +25%"
Kroos,manu_prod_spd_addition[040],Slow Starter,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +15% for the first hour. Thereafter, increase by +2% every hour, capping at +25%"
"Beagle, Cardigan",manu_prod_spd&limit[000],Warehouse Organization·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +6 and production +10%"
"Noir Corne, Cuora",manu_prod_spd&limit[001],Warehouse Organization·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +10 and production +10%"
None,,Mass Production,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +8 and production +10%"
"Scavenger, Vermeil",manu_prod_limit&cost[000],Scavenger,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +8 and mood reduction per hour -0.25"
Vulcan,manu_prod_spd&limit&cost[000],Craftsmanship·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production-5%, storage capacity +16 and mood reduction per hour -0.15"
Vulcan,manu_prod_spd&limit&cost[001],Craftsmanship·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production-5%, storage capacity +18 and mood reduction per hour -0.25"
Popukar,manu_prod_spd&limit&cost[010],Troublesome Creator,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%, storage capacity -12 and mood reduction per hour +0.25"
Vermeil,manu_prod_spd_variable[000],Recycling,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +2% for every +1 storage capacity provided by operators"
Waai Fu,manu_prod_spd_variable2[000],Sense of Cooperation,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +5% for every 5% production provided by operators, capping at +40%"
"Castle-3, ShiraYuki, Frostleaf, Vigna, FEater",manu_formula_spd[000],Combat Directive Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +30%"
FEater,manu_formula_spd[001],Boxing Guide Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +35%"
None,,Tactics Instruction Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +35%"
"Spot, Haze",manu_formula_spd[100],Metal Crafts·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of precious metals by +30%"
Gravel,manu_formula_spd[101],Metal Crafts·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of precious metals by +35%"
Midnight,manu_formula_spd[200],Originium Crafts·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +30%"
Lava,manu_formula_spd[201],Originium Crafts·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%"
Earthspirit,manu_formula_spd[210],Geologist,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%"
Eyjafjalla,manu_formula_spd[211],Volcanologist,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%"
