"Characters","Skill Name","Skill Level","Skill Description","SP Cost","Initial SP","Skill Duration","Charging Type",""
"Fang","Assault Order·Type α","1","Immediately obtain {{cost}:.0f} cost","30","","","Regen over time",""
"","","2","Immediately obtain {{cost}:.0f} cost","29","","","",""
"","","3","Immediately obtain {{cost}:.0f} cost","28","","","",""
"","","4","Immediately obtain {{cost}:.0f} cost","27","3","","",""
"","","5","Immediately obtain {{cost}:.0f} cost","26","3","","",""
"","","6","Immediately obtain {{cost}:.0f} cost","25","3","","",""
"","","7","Immediately obtain {{cost}:.0f} cost","25","6","","",""
"Courier, Scavenger","Assault Order·Type β","1","Immediately obtain {{cost}:.0f} cost","39","8","","Regen over time",""
"","","2","Immediately obtain {{cost}:.0f} cost","38","8","","",""
"","","3","Immediately obtain {{cost}:.0f} cost","37","8","","",""
"","","4","Immediately obtain {{cost}:.0f} cost","36","9","","",""
"","","5","Immediately obtain {{cost}:.0f} cost","35","9","","",""
"","","6","Immediately obtain {{cost}:.0f} cost","34","9","","",""
"","","7","Immediately obtain {{cost}:.0f} cost","33","10","","",""
"","","8","Immediately obtain {{cost}:.0f} cost","32","11","","",""
"","","9","Immediately obtain {{cost}:.0f} cost","31","12","","",""
"","","10","Immediately obtain {{cost}:.0f} cost","30","13","","",""
"зима, Texas, Siege","Assault Order·Type γ","1","Immediately obtain {{cost}:.0f} cost","44","10","","Regen over time",""
"","","2","Immediately obtain {{cost}:.0f} cost","43","10","","",""
"","","3","Immediately obtain {{cost}:.0f} cost","42","10","","",""
"","","4","Immediately obtain {{cost}:.0f} cost","41","12","","",""
"","","5","Immediately obtain {{cost}:.0f} cost","40","12","","",""
"","","6","Immediately obtain {{cost}:.0f} cost","39","12","","",""
"","","7","Immediately obtain {{cost}:.0f} cost","38","14","","",""
"","","8","Immediately obtain {{cost}:.0f} cost","37","16","","",""
"","","9","Immediately obtain {{cost}:.0f} cost","36","18","","",""
"","","10","Immediately obtain {{cost}:.0f} cost","35","20","","",""
"Myrtle","Support Order·Type β","1","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","31","8","8","Regen over time",""
"","","2","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","30","8","8","",""
"","","3","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","29","8","8","",""
"","","4","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","28","9","8","",""
"","","5","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","27","9","8","",""
"","","6","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","26","9","8","",""
"","","7","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","25","10","8","",""
"","","8","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","24","11","8","",""
"","","9","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","23","12","8","",""
"","","10","Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active","22","13","8","",""
"Melantha, Popukar, Adnachiel","Attack Strengthening·Type α","1","Attack +{{atk}:.0%}","50","","20","Regen over time",""
"","","2","Attack +{{atk}:.0%}","50","","20","",""
"","","3","Attack +{{atk}:.0%}","50","","20","",""
"","","4","Attack +{{atk}:.0%}","45","","20","",""
"","","5","Attack +{{atk}:.0%}","45","","20","",""
"","","6","Attack +{{atk}:.0%}","45","","20","",""
"","","7","Attack +{{atk}:.0%}","40","","20","",""
"Haze, Estelle, Dur-nar, Earthspirit","Attack Strengthening·Type β","1","Attack +{{atk}:.0%}","40","","25","Regen over time",""
"","","2","Attack +{{atk}:.0%}","40","","25","",""
"","","3","Attack +{{atk}:.0%}","40","","25","",""
"","","4","Attack +{{atk}:.0%}","37","","25","",""
"","","5","Attack +{{atk}:.0%}","37","","25","",""
"","","6","Attack +{{atk}:.0%}","37","","25","",""
"","","7","Attack +{{atk}:.0%}","37","5","25","",""
"","","8","Attack +{{atk}:.0%}","37","5","25","",""
"","","9","Attack +{{atk}:.0%}","37","5","25","",""
"","","10","Attack +{{atk}:.0%}","35","10","25","",""
"Specter, Platinum, Skyfire","Attack Strengthening·Type γ","1","Attack +{{atk}:.0%}","40","","30","Regen over time",""
"","","2","Attack +{{atk}:.0%}","40","","30","",""
"","","3","Attack +{{atk}:.0%}","40","","30","",""
"","","4","Attack +{{atk}:.0%}","37","5","30","",""
"","","5","Attack +{{atk}:.0%}","37","5","30","",""
"","","6","Attack +{{atk}:.0%}","37","5","30","",""
"","","7","Attack +{{atk}:.0%}","35","10","30","",""
"","","8","Attack +{{atk}:.0%}","34","10","30","",""
"","","9","Attack +{{atk}:.0%}","33","10","30","",""
"","","10","Attack +{{atk}:.0%}","30","15","30","",""
"Beagle","Defense Strengthening·Type α","1","Defense +{{def}:.0%}","50","","30","Regen over time",""
"","","2","Defense +{{def}:.0%}","50","","30","",""
"","","3","Defense +{{def}:.0%}","50","","30","",""
"","","4","Defense +{{def}:.0%}","45","","30","",""
"","","5","Defense +{{def}:.0%}","45","","30","",""
"","","6","Defense +{{def}:.0%}","45","","30","",""
"","","7","Defense +{{def}:.0%}","40","","30","",""
"Cuora","Defense Strengthening·Type β","1","Defense +{{def}:.0%}","45","","35","Regen over time",""
"","","2","Defense +{{def}:.0%}","45","","35","",""
"","","3","Defense +{{def}:.0%}","45","","35","",""
"","","4","Defense +{{def}:.0%}","40","5","35","",""
"","","5","Defense +{{def}:.0%}","40","5","35","",""
"","","6","Defense +{{def}:.0%}","40","5","35","",""
"","","7","Defense +{{def}:.0%}","38","5","35","",""
"","","8","Defense +{{def}:.0%}","37","5","35","",""
"","","9","Defense +{{def}:.0%}","36","5","35","",""
"","","10","Defense +{{def}:.0%}","35","10","35","",""
"Grani","Defense Strengthening·Type γ","1","Defense +{{def}:.0%}","45","","40","Regen over time",""
"","","2","Defense +{{def}:.0%}","45","","40","",""
"","","3","Defense +{{def}:.0%}","45","","40","",""
"","","4","Defense +{{def}:.0%}","40","5","40","",""
"","","5","Defense +{{def}:.0%}","40","5","40","",""
"","","6","Defense +{{def}:.0%}","40","5","40","",""
"","","7","Defense +{{def}:.0%}","35","10","40","",""
"","","8","Defense +{{def}:.0%}","34","10","40","",""
"","","9","Defense +{{def}:.0%}","33","10","40","",""
"","","10","Defense +{{def}:.0%}","30","15","40","",""
"Lava","Tactical Chanting·Type α","1","Attack speed +{{attack_speed}:.0f}","50","","20","Regen over time",""
"","","2","Attack speed +{{attack_speed}:.0f}","50","","20","",""
"","","3","Attack speed +{{attack_speed}:.0f}","50","","20","",""
"","","4","Attack speed +{{attack_speed}:.0f}","45","","20","",""
"","","5","Attack speed +{{attack_speed}:.0f}","45","","20","",""
"","","6","Attack speed +{{attack_speed}:.0f}","45","","20","",""
"","","7","Attack speed +{{attack_speed}:.0f}","40","","20","",""
"Gitano, Greyy","Tactical Chanting·Type β","1","Attack speed +{{attack_speed}:.0f}","45","","25","Regen over time",""
"","","2","Attack speed +{{attack_speed}:.0f}","45","","25","",""
"","","3","Attack speed +{{attack_speed}:.0f}","45","","25","",""
"","","4","Attack speed +{{attack_speed}:.0f}","40","","25","",""
"","","5","Attack speed +{{attack_speed}:.0f}","40","","25","",""
"","","6","Attack speed +{{attack_speed}:.0f}","40","","25","",""
"","","7","Attack speed +{{attack_speed}:.0f}","37","5","25","",""
"","","8","Attack speed +{{attack_speed}:.0f}","37","5","25","",""
"","","9","Attack speed +{{attack_speed}:.0f}","37","5","25","",""
"","","10","Attack speed +{{attack_speed}:.0f}","35","10","25","",""
"Amiya","Tactical Chanting·Type γ","1","Attack speed +{{attack_speed}:.0f}","40","","30","Regen over time",""
"","","2","Attack speed +{{attack_speed}:.0f}","40","","30","",""
"","","3","Attack speed +{{attack_speed}:.0f}","40","","30","",""
"","","4","Attack speed +{{attack_speed}:.0f}","35","5","30","",""
"","","5","Attack speed +{{attack_speed}:.0f}","35","5","30","",""
"","","6","Attack speed +{{attack_speed}:.0f}","35","5","30","",""
"","","7","Attack speed +{{attack_speed}:.0f}","32","10","30","",""
"","","8","Attack speed +{{attack_speed}:.0f}","32","10","30","",""
"","","9","Attack speed +{{attack_speed}:.0f}","32","10","30","",""
"","","10","Attack speed +{{attack_speed}:.0f}","30","15","30","",""
"Plume, Orchid","Swift Strike·Type α","1","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","55","","25","Regen over time",""
