Character,Rarity,Skill Name,Skill Level,Skill Description,SP Cost,Initial SP,Skill Duration,Charging Type
Cardigan,3,Health Recovery·Type α,1,Immediately recover {{heal_scale}:.0%} of Max HP,26,0,0,Regen over time
,,,2,Immediately recover {{heal_scale}:.0%} of Max HP,25,0,0,
,,,3,Immediately recover {{heal_scale}:.0%} of Max HP,24,0,0,
,,,4,Immediately recover {{heal_scale}:.0%} of Max HP,23,5,0,
,,,5,Immediately recover {{heal_scale}:.0%} of Max HP,22,5,0,
,,,6,Immediately recover {{heal_scale}:.0%} of Max HP,21,5,0,
,,,7,Immediately recover {{heal_scale}:.0%} of Max HP,20,10,0,
Beagle,3,Defense Strengthening·Type α,1,Defense +{{def}:.0%},50,0,30,Regen over time
,,,2,Defense +{{def}:.0%},50,0,30,
,,,3,Defense +{{def}:.0%},50,0,30,
,,,4,Defense +{{def}:.0%},45,0,30,
,,,5,Defense +{{def}:.0%},45,0,30,
,,,6,Defense +{{def}:.0%},45,0,30,
,,,7,Defense +{{def}:.0%},40,0,30,
Spot,3,Secondary Healing Mode,1,"Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)",40,15,15,Regen over time
,,,2,"Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)",40,15,16,
,,,3,"Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)",40,15,17,
,,,4,"Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)",40,20,20,
,,,5,"Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)",40,20,21,
,,,6,"Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)",40,20,22,
,,,7,"Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)",40,25,25,
Matterhorn,4,Body Strengthening,1,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",45,0,25,Regen over time
,,,2,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",44,0,25,
,,,3,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",43,0,25,
,,,4,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",42,5,27,
,,,5,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",41,5,27,
,,,6,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",40,5,27,
