"Character","Rarity","Skill Name","Skill Level","Skill Description","SP Cost","Initial SP","Skill Duration","Charging Type"
"Melantha","3","Attack Strengthening·Type α","1","Attack +{{atk}:.0%}","50","0","20","Regen over time"
"","","","2","Attack +{{atk}:.0%}","50","0","20",""
"","","","3","Attack +{{atk}:.0%}","50","0","20",""
"","","","4","Attack +{{atk}:.0%}","45","0","20",""
"","","","5","Attack +{{atk}:.0%}","45","0","20",""
"","","","6","Attack +{{atk}:.0%}","45","0","20",""
"","","","7","Attack +{{atk}:.0%}","40","0","20",""
"Popukar","3","Attack Strengthening·Type α","1","Attack +{{atk}:.0%}","50","0","20","Regen over time"
"","","","2","Attack +{{atk}:.0%}","50","0","20",""
"","","","3","Attack +{{atk}:.0%}","50","0","20",""
"","","","4","Attack +{{atk}:.0%}","45","0","20",""
"","","","5","Attack +{{atk}:.0%}","45","0","20",""
"","","","6","Attack +{{atk}:.0%}","45","0","20",""
"","","","7","Attack +{{atk}:.0%}","40","0","20",""
"Midnight","3","Weapon Enchanting·Type α","1","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","80","20","30","Regen over time"
"","","","2","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","79","20","31",""
"","","","3","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","78","20","32",""
"","","","4","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","75","25","35",""
"","","","5","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","74","25","36",""
"","","","6","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","73","25","37",""
"","","","7","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","70","30","40",""
"Dobermann","4","Powerful Strike·Type β","1","The next attack deals {{atk_scale}:.0%} damage","5","0","0","Regen on attack"
"","","","2","The next attack deals {{atk_scale}:.0%} damage","5","0","0",""
"","","","3","The next attack deals {{atk_scale}:.0%} damage","5","0","0",""
"","","","4","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","5","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","6","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","7","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","8","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","9","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","10","The next attack deals {{atk_scale}:.0%} damage","3","0","0",""
"Dobermann","4","Supervision","1","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","80","30","25","Regen over time"
"","","","2","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","79","30","25",""
"","","","3","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","78","30","25",""
"","","","4","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","77","32","25",""
"","","","5","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","76","32","25",""
"","","","6","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","75","32","25",""
"","","","7","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","74","34","25",""
"","","","8","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","73","36","25",""
"","","","9","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","72","38","25",""
"","","","10","Attack +{{atk}:.0%}, increase effect of self talent by {talent_scale}x","70","40","25",""
"Matoimaru","4","Health Recovery·Type β","1","Immediately recover {{heal_scale}:.0%} of Max HP","30","0","0","Regen over time"
"","","","2","Immediately recover {{heal_scale}:.0%} of Max HP","29","0","0",""
"","","","3","Immediately recover {{heal_scale}:.0%} of Max HP","28","0","0",""
"","","","4","Immediately recover {{heal_scale}:.0%} of Max HP","27","3","0",""
"","","","5","Immediately recover {{heal_scale}:.0%} of Max HP","26","3","0",""
"","","","6","Immediately recover {{heal_scale}:.0%} of Max HP","25","3","0",""
"","","","7","Immediately recover {{heal_scale}:.0%} of Max HP","24","7","0",""
"","","","8","Immediately recover {{heal_scale}:.0%} of Max HP","23","8","0",""
"","","","9","Immediately recover {{heal_scale}:.0%} of Max HP","22","9","0",""
"","","","10","Immediately recover {{heal_scale}:.0%} of Max HP","20","10","0",""
"Matoimaru","4","Demon Strength","1","Reduce Defense to 0, Attack +{{atk}:.0%}","35","0","10","Regen over time"
"","","","2","Reduce Defense to 0, Attack +{{atk}:.0%}","35","0","10",""
"","","","3","Reduce Defense to 0, Attack +{{atk}:.0%}","35","0","10",""
"","","","4","Reduce Defense to 0, Attack +{{atk}:.0%}","32","0","11",""
"","","","5","Reduce Defense to 0, Attack +{{atk}:.0%}","32","0","11",""
"","","","6","Reduce Defense to 0, Attack +{{atk}:.0%}","32","0","11",""
"","","","7","Reduce Defense to 0, Attack +{{atk}:.0%}","29","5","12",""
"","","","8","Reduce Defense to 0, Attack +{{atk}:.0%}","28","6","13",""
"","","","9","Reduce Defense to 0, Attack +{{atk}:.0%}","27","7","14",""
"","","","10","Reduce Defense to 0, Attack +{{atk}:.0%}","25","10","15",""
"Conviction","4","Conviction","1","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","7","0","0","Regen over time"
"","","","2","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","7","0","0",""
"","","","3","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","7","0","0",""
"","","","4","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","6","0","0",""
"","","","5","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","6","0","0",""
"","","","6","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","6","0","0",""
"","","","7","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","5","0","0",""
"","","","8","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","5","0","0",""
"","","","9","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","5","0","0",""
"","","","10","The next attack has {{atk_scale}:.0%} Attack power ({{peacok_s_1[crit].prob}:.0%} chance to increase to {{atk_scale_fake}:.0%}). Can hold 3 charges","4","0","0",""
"Conviction","4","Genesis","1","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","19","0","0","Regen over time"
"","","","2","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","19","0","0",""
"","","","3","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","19","0","0",""
"","","","4","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","18","1","0",""
"","","","5","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","18","1","0",""
"","","","6","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","18","1","0",""
"","","","7","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","17","2","0",""
"","","","8","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","16","3","0",""
"","","","9","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","15","4","0",""
"","","","10","Immediately deal {{success.atk_scale}:.0%} magic damage to all nearby enemies and seal their special abilities for {success.silence} seconds. This skill has {{prob}:.0%} chance to fail, causing all nearby allies to be stunned for {{failure.stun}:.0f} seconds instead","12","5","0",""
"Frostleaf","4","Frosty Spear","1","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","5","0","-1","Regen over time"
"","","","2","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","5","0","-1",""
"","","","3","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","5","0","-1",""
"","","","4","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","4","0","-1",""
"","","","5","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","4","0","-1",""
"","","","6","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","4","0","-1",""
"","","","7","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","4","0","-1",""
"","","","8","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","3","0","-1",""
"","","","9","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","3","0","-1",""
"","","","10","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds","3","0","-1",""
"Frostleaf","4","Freezing Spear","1","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","60","0","25","Regen over time"
"","","","2","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","59","0","25",""
"","","","3","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","58","0","25",""
"","","","4","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","57","0","25",""
"","","","5","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","56","0","25",""
"","","","6","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","55","0","25",""
"","","","7","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","54","0","25",""
"","","","8","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","53","0","25",""
"","","","9","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","52","0","25",""
"","","","10","Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to bind the target (unable to move) for {debuff} seconds","50","0","25",""
"Estelle","4","Attack Strengthening·Type β","1","Attack +{{atk}:.0%}","40","0","25","Regen over time"
"","","","2","Attack +{{atk}:.0%}","40","0","25",""
"","","","3","Attack +{{atk}:.0%}","40","0","25",""
"","","","4","Attack +{{atk}:.0%}","37","0","25",""
"","","","5","Attack +{{atk}:.0%}","37","0","25",""
"","","","6","Attack +{{atk}:.0%}","37","0","25",""
"","","","7","Attack +{{atk}:.0%}","37","5","25",""
"","","","8","Attack +{{atk}:.0%}","37","5","25",""
"","","","9","Attack +{{atk}:.0%}","37","5","25",""
"","","","10","Attack +{{atk}:.0%}","35","10","25",""
"Estelle","4","Self-sacrifice","1","Attack +{{atk}:.0%}, however become unable to be healed by other operators","25","10","15","Regen when attacked"
"","","","2","Attack +{{atk}:.0%}, however become unable to be healed by other operators","25","10","15",""
"","","","3","Attack +{{atk}:.0%}, however become unable to be healed by other operators","25","10","15",""
"","","","4","Attack +{{atk}:.0%}, however become unable to be healed by other operators","24","10","15",""
"","","","5","Attack +{{atk}:.0%}, however become unable to be healed by other operators","24","10","15",""
"","","","6","Attack +{{atk}:.0%}, however become unable to be healed by other operators","24","10","15",""
"","","","7","Attack +{{atk}:.0%}, however become unable to be healed by other operators","23","10","15",""
"","","","8","Attack +{{atk}:.0%}, however become unable to be healed by other operators","22","10","15",""
"","","","9","Attack +{{atk}:.0%}, however become unable to be healed by other operators","21","10","15",""
"","","","10","Attack +{{atk}:.0%}, however become unable to be healed by other operators","20","10","15",""
"Mousse","4","Cat Scratch","1","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","6","0","0","Regen on attack"
"","","","2","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","6","0","0",""
"","","","3","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","6","0","0",""
"","","","4","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","5","0","0",""
"","","","5","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","5","0","0",""
"","","","6","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","5","0","0",""
"","","","7","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","5","0","0",""
"","","","8","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","5","0","0",""
"","","","9","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","5","0","0",""
"","","","10","The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} Attack to the target for {frncat_s_1[debuff].duration} seconds","4","0","0",""
"Mousse","4","Bristling Fur","1","Attack and Defense +{{atk}:.0%}","80","20","40","Regen over time"
"","","","2","Attack and Defense +{{atk}:.0%}","80","21","40",""
"","","","3","Attack and Defense +{{atk}:.0%}","80","22","40",""
"","","","4","Attack and Defense +{{atk}:.0%}","80","25","40",""
"","","","5","Attack and Defense +{{atk}:.0%}","80","26","40",""
"","","","6","Attack and Defense +{{atk}:.0%}","80","27","40",""
"","","","7","Attack and Defense +{{atk}:.0%}","80","30","40",""
"","","","8","Attack and Defense +{{atk}:.0%}","80","35","40",""
"","","","9","Attack and Defense +{{atk}:.0%}","80","40","40",""
"","","","10","Attack and Defense +{{atk}:.0%}","80","45","40",""
"Cutter","4","Red Shift","1","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","16","5","0","Regen on attack"
"","","","2","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","16","5","0",""
"","","","3","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","16","5","0",""
"","","","4","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","15","5","0",""
"","","","5","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","15","5","0",""
"","","","6","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","15","5","0",""
"","","","7","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","14","5","0",""
"","","","8","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","13","5","0",""
"","","","9","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","12","5","0",""
"","","","10","Immediately throw {{times}:.0f} daggers towards random enemies ahead, each dealing {{atk_scale}:.0%} physical damage","11","5","0",""
"Cutter","4","Crimson Cutter","1","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","17","0","0","Regen on attack"
"","","","2","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","17","0","0",""
"","","","3","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","17","0","0",""
"","","","4","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","16","1","0",""
"","","","5","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","16","1","0",""
"","","","6","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","16","1","0",""
"","","","7","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","15","2","0",""
"","","","8","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","14","3","0",""
"","","","9","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","13","4","0",""
"","","","10","Deal {{atk_scale}:.0%} physical damage to up to {{max_target}:.0f} nearby enemies. Attack scaling is doubled when attacking flying enemies","12","5","0",""
"Utage","4","Distracted","1","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","0","8","Regen over time"
"","","","2","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","1","8",""
"","","","3","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","2","8",""
"","","","4","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","3","8",""
"","","","5","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","4","8",""
"","","","6","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","5","8",""
"","","","7","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","6","8",""
"","","","8","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","7","8",""
"","","","9","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","8","8",""
"","","","10","Stops attacking enemies. Reduce Block count to 0, Defense +{{def}:.0%} and recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","15","10","8",""
"Utage","4","Landing Strike·Doorbreaker","1","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1","Passive"
"","","","2","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","3","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","4","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","5","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","6","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","7","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","8","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","9","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"","","","10","Immediately lose {{hp_ratio}:.0%} Max HP after deployment. Attack +{{atk}:.0%} and change damage type to magical damage for {{duration}:.0f} seconds","0","0","-1",""
"Beehunter","4","High Mobility","1","Gain {{prob}:.0%} physical evasion","0","0","0","Passive"
"","","","2","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","3","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","4","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","5","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","6","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","7","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","8","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","9","Gain {{prob}:.0%} physical evasion","0","0","0",""
"","","","10","Gain {{prob}:.0%} physical evasion","0","0","0",""
"Beehunter","4","Swift Punch","1","Reduce attack interval ({{base_attack_time}:.0%})","40","0","10","Regen over time"
"","","","2","Reduce attack interval ({{base_attack_time}:.0%})","39","0","10",""
"","","","3","Reduce attack interval ({{base_attack_time}:.0%})","38","0","10",""
"","","","4","Highly reduce attack interval ({{base_attack_time}:.0%})","35","0","10",""
"","","","5","Highly reduce attack interval ({{base_attack_time}:.0%})","34","0","10",""
"","","","6","Highly reduce attack interval ({{base_attack_time}:.0%})","33","0","10",""
"","","","7","Highly reduce attack interval ({{base_attack_time}:.0%})","30","0","10",""
"","","","8","Greatly reduce attack interval ({{base_attack_time}:.0%})","27","0","10",""
"","","","9","Greatly reduce attack interval ({{base_attack_time}:.0%})","24","0","10",""
"","","","10","Greatly reduce attack interval ({{base_attack_time}:.0%})","20","0","10",""
"Swire","5","Command Dispatch","1","Increase talent range, talent effect increased to {talent_scale}x","60","20","15","Regen over time"
"","","","2","Increase talent range, talent effect increased to {talent_scale}x","59","20","17",""
"","","","3","Increase talent range, talent effect increased to {talent_scale}x","58","20","19",""
"","","","4","Increase talent range, talent effect increased to {talent_scale}x","55","20","21",""
"","","","5","Increase talent range, talent effect increased to {talent_scale}x","54","20","23",""
"","","","6","Increase talent range, talent effect increased to {talent_scale}x","53","20","25",""
"","","","7","Greatly increase talent range, talent effect increased to {talent_scale}x","50","20","27",""
"","","","8","Greatly increase talent range, talent effect increased to {talent_scale}x","47","20","29",""
"","","","9","Greatly increase talent range, talent effect increased to {talent_scale}x","44","20","31",""
"","","","10","Greatly increase talent range, talent effect increased to {talent_scale}x","40","20","35",""
"Swire","5","Cooperative Combat","1","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","60","20","15","Regen on attack"
"","","","2","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","59","20","15",""
"","","","3","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","58","20","15",""
"","","","4","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","55","20","18",""
"","","","5","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","54","20","18",""
"","","","6","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","53","20","18",""
"","","","7","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","50","20","21",""
"","","","8","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","49","20","23",""
"","","","9","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","48","20","26",""
"","","","10","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","45","20","30",""
"Franka","5","Swift Strike·Type γ","1","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","45","0","35","Regen over time"
"","","","2","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","44","0","35",""
"","","","3","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","43","0","35",""
"","","","4","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","42","5","35",""
"","","","5","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","41","5","35",""
"","","","6","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","40","5","35",""
"","","","7","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","39","10","35",""
"","","","8","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","38","10","35",""
"","","","9","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","37","10","35",""
"","","","10","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","15","35",""
"Franka","5","Extreme Sharpness","1","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","0","20","Regen over time"
"","","","2","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","0","20",""
"","","","3","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","0","20",""
