Character,Rarity,Skill Name,Skill Level,Skill Description,SP Cost,Initial SP,Skill Duration,Charging Type
Hibiscus,3,Healing Strengthening·Type α,1,Attack +{{atk}:.0%},40,0,20,Regen over time
,,,2,Attack +{{atk}:.0%},40,0,20,
,,,3,Attack +{{atk}:.0%},40,0,20,
,,,4,Attack +{{atk}:.0%},35,0,20,
,,,5,Attack +{{atk}:.0%},35,0,20,
,,,6,Attack +{{atk}:.0%},35,0,20,
,,,7,Attack +{{atk}:.0%},30,0,20,
Ansel,3,Healing Range Strengthening,1,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}",45,10,19,Regen over time
,,,2,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}",44,10,20,
,,,3,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}",43,10,21,
,,,4,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}",40,10,22,
,,,5,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}",39,10,23,
,,,6,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}",38,10,24,
,,,7,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}",35,10,25,
Myrrh,4,Double Heal,1,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,10,0,0,Regen over time
,,,2,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,10,0,0,
,,,3,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,10,0,0,
,,,4,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,9,0,0,
,,,5,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,9,0,0,
,,,6,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,9,0,0,
,,,7,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,9,0,0,
,,,8,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,8,0,0,
,,,9,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,8,0,0,
,,,10,The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges,8,0,0,
Myrrh,4,Healing Field,1,"Attack +{{atk}:.0%}, heal an additional target on every heal",65,5,25,Regen over time
,,,2,"Attack +{{atk}:.0%}, heal an additional target on every heal",65,5,25,
,,,3,"Attack +{{atk}:.0%}, heal an additional target on every heal",65,5,25,
,,,4,"Attack +{{atk}:.0%}, heal an additional target on every heal",60,10,25,
,,,5,"Attack +{{atk}:.0%}, heal an additional target on every heal",60,10,25,
,,,6,"Attack +{{atk}:.0%}, heal an additional target on every heal",60,10,25,
,,,7,"Attack +{{atk}:.0%}, heal an additional target on every heal",55,15,25,
,,,8,"Attack +{{atk}:.0%}, heal an additional target on every heal",53,17,25,
,,,9,"Attack +{{atk}:.0%}, heal an additional target on every heal",52,18,25,
,,,10,"Attack +{{atk}:.0%}, heal an additional target on every heal",50,20,25,
Gavial,4,Revitalization,1,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",10,0,-1,Regen over time
,,,2,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",10,0,-1,
,,,3,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",10,0,-1,
,,,4,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",9,0,-1,
,,,5,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",9,0,-1,
,,,6,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",9,0,-1,
,,,7,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",9,0,-1,
,,,8,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",9,0,-1,
,,,9,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges",9,0,-1,
