"Character","Rarity","Skill Name","Skill Level","Skill Description","SP Cost","Initial SP","Skill Duration","Charging Type"
"Kroos","3","Consecutive Shot·Auto","1","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","5","0","0","Regen on attack"
"","","","2","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"","","","3","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"","","","4","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","0","0",""
"","","","5","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","0","0",""
"","","","6","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","0","0",""
"","","","7","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","0","0",""
"Adnachiel","3","Attack Strengthening·Type α","1","Attack +{{atk}:.0%}","50","0","20","Regen over time"
"","","","2","Attack +{{atk}:.0%}","50","0","20",""
"","","","3","Attack +{{atk}:.0%}","50","0","20",""
"","","","4","Attack +{{atk}:.0%}","45","0","20",""
"","","","5","Attack +{{atk}:.0%}","45","0","20",""
"","","","6","Attack +{{atk}:.0%}","45","0","20",""
"","","","7","Attack +{{atk}:.0%}","40","0","20",""
"Catapult","3","Explosion Area Strengthening·Type α","1","Splash area of normal attacks increased to {{attack@range_scale}:.0%}","55","0","20","Regen over time"
"","","","2","Splash area of normal attacks increased to {{attack@range_scale}:.0%}","53","0","22",""
"","","","3","Splash area of normal attacks increased to {{attack@range_scale}:.0%}","51","0","24",""
"","","","4","Splash area of normal attacks increased to {{attack@range_scale}:.0%}","50","0","25",""
"","","","5","Splash area of normal attacks increased to {{attack@range_scale}:.0%}","48","0","27",""
"","","","6","Splash area of normal attacks increased to {{attack@range_scale}:.0%}","46","0","29",""
"","","","7","Splash area of normal attacks increased to {{attack@range_scale}:.0%}","45","0","30",""
"Jessica","4","Powerful Strike·Type β","1","The next attack deals {{atk_scale}:.0%} damage","5","0","0","Regen on attack"
"","","","2","The next attack deals {{atk_scale}:.0%} damage","5","0","0",""
"","","","3","The next attack deals {{atk_scale}:.0%} damage","5","0","0",""
"","","","4","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","5","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","6","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","7","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","8","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","9","The next attack deals {{atk_scale}:.0%} damage","4","0","0",""
"","","","10","The next attack deals {{atk_scale}:.0%} damage","3","0","0",""
"Jessica","4","Cover Smoke","1","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","50","10","20","Regen over time"
"","","","2","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","49","10","20",""
"","","","3","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","48","10","20",""
"","","","4","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","47","10","21",""
"","","","5","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","46","10","21",""
"","","","6","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","45","10","21",""
"","","","7","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","44","15","22",""
"","","","8","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","43","15","23",""
"","","","9","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","42","15","24",""
"","","","10","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","40","20","25",""
"Meteor","4","Armor-crushing Shot","1","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","0","-1","Regen on attack"
"","","","2","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","0","-1",""
"","","","3","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","0","-1",""
"","","","4","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","0","-1",""
"","","","5","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","0","-1",""
"","","","6","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","0","-1",""
"","","","7","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","0","-1",""
"","","","8","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","0","-1",""
"","","","9","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","0","-1",""
"","","","10","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","0","-1",""
"Meteor","4","Armor-crushing Shot·Spread","1","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","20","0","-1","Regen on attack"
"","","","2","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","20","0","-1",""
"","","","3","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","20","0","-1",""
"","","","4","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","19","0","-1",""
"","","","5","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","19","0","-1",""
"","","","6","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","19","0","-1",""
"","","","7","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","18","0","-1",""
"","","","8","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","17","0","-1",""
"","","","9","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","16","0","-1",""
"","","","10","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","15","0","-1",""
"Vermeil","4","Attack Strengthening·Type β","1","Attack +{{atk}:.0%}","40","0","25","Regen over time"
"","","","2","Attack +{{atk}:.0%}","40","0","25",""
"","","","3","Attack +{{atk}:.0%}","40","0","25",""
"","","","4","Attack +{{atk}:.0%}","37","0","25",""
"","","","5","Attack +{{atk}:.0%}","37","0","25",""
"","","","6","Attack +{{atk}:.0%}","37","0","25",""
"","","","7","Attack +{{atk}:.0%}","37","5","25",""
"","","","8","Attack +{{atk}:.0%}","37","5","25",""
"","","","9","Attack +{{atk}:.0%}","37","5","25",""
"","","","10","Attack +{{atk}:.0%}","35","10","25",""
"Vermeil","4","Twinshot","1","Attack +{{atk}:.0%}, attack an additional target","30","0","15","Regen over time"
"","","","2","Attack +{{atk}:.0%}, attack an additional target","29","1","15",""
"","","","3","Attack +{{atk}:.0%}, attack an additional target","28","2","15",""
"","","","4","Attack +{{atk}:.0%}, attack an additional target","27","3","16",""
"","","","5","Attack +{{atk}:.0%}, attack an additional target","26","4","16",""
"","","","6","Attack +{{atk}:.0%}, attack an additional target","25","5","16",""
"","","","7","Attack +{{atk}:.0%}, attack an additional target","24","6","17",""
"","","","8","Attack +{{atk}:.0%}, attack an additional target","23","7","18",""
"","","","9","Attack +{{atk}:.0%}, attack an additional target","22","8","19",""
"","","","10","Attack +{{atk}:.0%}, attack an additional target","20","10","20",""
"May","4","Paralysis Bullet","1","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","5","0","0","Regen on attack"
"","","","2","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","5","0","0",""
"","","","3","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","5","0","0",""
"","","","4","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","4","0","0",""
"","","","5","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","4","0","0",""
"","","","6","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","4","0","0",""
"","","","7","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","4","0","0",""
"","","","8","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","4","0","0",""
"","","","9","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","4","0","0",""
"","","","10","The next attack has {{atk_scale}:.0%} Attack power and stops the target for {sluggish} seconds","3","0","0",""
"May","4","Binding Shock","1","Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}, attacks stop the target for {attack@sluggish} seconds and have {{attack@prob}:.0%} chance to stun them for {attack@stun} seconds","30","0","25","Regen over time"
"","","","2","Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}, attacks stop the target for {attack@sluggish} seconds and have {{attack@prob}:.0%} chance to stun them for {attack@stun} seconds","29","0","25",""
"","","","3","Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}, attacks stop the target for {attack@sluggish} seconds and have {{attack@prob}:.0%} chance to stun them for {attack@stun} seconds","28","0","25",""
"","","","4","Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}, attacks stop the target for {attack@sluggish} seconds and have {{attack@prob}:.0%} chance to stun them for {attack@stun} seconds","27","0","26",""
"","","","5","Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}, attacks stop the target for {attack@sluggish} seconds and have {{attack@prob}:.0%} chance to stun them for {attack@stun} seconds","26","0","26",""
"","","","6","Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}, attacks stop the target for {attack@sluggish} seconds and have {{attack@prob}:.0%} chance to stun them for {attack@stun} seconds","25","0","26",""
