Character,Rarity,Skill Name,Skill Level,Skill Description,SP Cost,Initial SP,Skill Duration,Charging Type
Fang,3,Assault Order·Type α,1,Immediately obtain {{cost}:.0f} cost,30,0,0,Regen over time
,,,2,Immediately obtain {{cost}:.0f} cost,29,0,0,
,,,3,Immediately obtain {{cost}:.0f} cost,28,0,0,
,,,4,Immediately obtain {{cost}:.0f} cost,27,3,0,
,,,5,Immediately obtain {{cost}:.0f} cost,26,3,0,
,,,6,Immediately obtain {{cost}:.0f} cost,25,3,0,
,,,7,Immediately obtain {{cost}:.0f} cost,25,6,0,
Vanilla,3,Assault Order·Reinforcements,1,"Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}",25,0,10,Regen over time
,,,2,"Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}",25,1,10,
,,,3,"Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}",25,2,10,
,,,4,"Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}",23,3,10,
,,,5,"Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}",22,3,10,
,,,6,"Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}",21,3,10,
,,,7,"Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}",20,6,10,
Plume,3,Swift Strike·Type α,1,"Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",55,0,25,Regen over time
,,,2,"Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",54,0,25,
,,,3,"Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",53,0,25,
,,,4,"Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",50,0,25,
,,,5,"Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",49,0,25,
,,,6,"Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",48,0,25,
,,,7,"Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",45,0,25,
Courier,4,Assault Order·Type β,1,Immediately obtain {{cost}:.0f} cost,39,8,0,Regen over time
,,,2,Immediately obtain {{cost}:.0f} cost,38,8,0,
,,,3,Immediately obtain {{cost}:.0f} cost,37,8,0,
,,,4,Immediately obtain {{cost}:.0f} cost,36,9,0,
,,,5,Immediately obtain {{cost}:.0f} cost,35,9,0,
,,,6,Immediately obtain {{cost}:.0f} cost,34,9,0,
,,,7,Immediately obtain {{cost}:.0f} cost,33,10,0,
,,,8,Immediately obtain {{cost}:.0f} cost,32,11,0,
,,,9,Immediately obtain {{cost}:.0f} cost,31,12,0,
,,,10,Immediately obtain {{cost}:.0f} cost,30,13,0,
Courier,4,Assault Order·Defend,1,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",40,12,15,Regen over time
,,,2,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",39,12,15,
,,,3,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",38,12,15,
,,,4,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",37,13,15,
,,,5,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",36,13,15,
,,,6,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",35,13,15,
,,,7,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",34,14,15,
,,,8,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",33,15,15,
,,,9,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",32,16,15,
,,,10,"Immediately obtain {{blackd_s_2[once].cost}:.0f} cost. Gradually obtain {{blackd_s_2[period].trig_cnt}:.0f} cost while the skill is active, additionally Defense +{{blackd_s_2[period].def}:.0%}",30,17,15,
Scavenger,4,Assault Order·Type β,1,Immediately obtain {{cost}:.0f} cost,39,8,0,Regen over time
,,,2,Immediately obtain {{cost}:.0f} cost,38,8,0,
,,,3,Immediately obtain {{cost}:.0f} cost,37,8,0,
,,,4,Immediately obtain {{cost}:.0f} cost,36,9,0,
,,,5,Immediately obtain {{cost}:.0f} cost,35,9,0,
,,,6,Immediately obtain {{cost}:.0f} cost,34,9,0,
,,,7,Immediately obtain {{cost}:.0f} cost,33,10,0,
,,,8,Immediately obtain {{cost}:.0f} cost,32,11,0,
,,,9,Immediately obtain {{cost}:.0f} cost,31,12,0,
,,,10,Immediately obtain {{cost}:.0f} cost,30,13,0,
Scavenger,4,Assault Order·Attack,1,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},40,13,15,Regen over time
,,,2,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},39,13,15,
,,,3,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},38,13,15,
,,,4,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},37,14,15,
,,,5,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},36,14,15,
,,,6,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},35,14,15,
,,,7,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},34,15,15,
,,,8,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},33,16,15,
,,,9,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},32,17,15,
,,,10,Immediately obtain {{cost}:.0f} cost. Attack +{{atk}:.0%},30,18,15,
Vigna,4,Attack Strengthening·Type β,1,Attack +{{atk}:.0%},40,0,25,Regen over time
,,,2,Attack +{{atk}:.0%},40,0,25,
,,,3,Attack +{{atk}:.0%},40,0,25,
,,,4,Attack +{{atk}:.0%},37,0,25,
,,,5,Attack +{{atk}:.0%},37,0,25,
,,,6,Attack +{{atk}:.0%},37,0,25,
,,,7,Attack +{{atk}:.0%},37,5,25,
,,,8,Attack +{{atk}:.0%},37,5,25,
,,,9,Attack +{{atk}:.0%},37,5,25,
,,,10,Attack +{{atk}:.0%},35,10,25,
Vigna,4,Hammer-on,1,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",35,0,20,Regen over time
,,,2,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",35,0,20,
,,,3,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",35,0,20,
,,,4,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",32,0,22,
,,,5,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",32,0,22,
,,,6,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",32,0,22,
,,,7,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",28,5,25,
,,,8,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",27,5,26,
,,,9,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",26,5,27,
,,,10,"Slightly increase attack interval (+{base_attack_time} seconds), Attack +{{atk}:.0%}",25,10,30,
Myrtle,4,Support Order·Type β,1,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,31,8,8,Regen over time
,,,2,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,30,8,8,
,,,3,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,29,8,8,
,,,4,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,28,9,8,
,,,5,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,27,9,8,
,,,6,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,26,9,8,
,,,7,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,25,10,8,
,,,8,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,24,11,8,
,,,9,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,23,12,8,
,,,10,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active,22,13,8,
Myrtle,4,Wings of Recovery,1,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,35,5,16,Regen over time
,,,2,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,34,5,16,
,,,3,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,33,5,16,
,,,4,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,31,6,16,
,,,5,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,30,6,16,
,,,6,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,29,6,16,
,,,7,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,27,7,16,
,,,8,Stops attacking and gradually obtain {{value}:.0f} cost while the skill is active. Heal 1 nearby ally for {{attack@heal_scale}:.0%} of Myrtle's Attack every second,26,8,16,
