Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,o,o,o
Lava,3,skcom_magic_rage[1],Tactical Chanting·Type α,1,50,0,20,Regen over time,Attack speed +{{attack_speed}:.0f},,,
,,,,2,50,0,20,,Attack speed +{{attack_speed}:.0f},,,
,,,,3,50,0,20,,Attack speed +{{attack_speed}:.0f},,,
,,,,4,45,0,20,,Attack speed +{{attack_speed}:.0f},,,
,,,,5,45,0,20,,Attack speed +{{attack_speed}:.0f},,,
,,,,6,45,0,20,,Attack speed +{{attack_speed}:.0f},,,
,,,,7,40,0,20,,Attack speed +{{attack_speed}:.0f},,,
Steward,3,skchr_stward_1,Powerful Strike·Type α,1,5,0,0,Regen on attack,The next attack deals {{atk_scale}:.0%} damage,,,
,,,,2,5,0,0,,The next attack deals {{atk_scale}:.0%} damage,,,
,,,,3,5,0,0,,The next attack deals {{atk_scale}:.0%} damage,,,
,,,,4,4,0,0,,The next attack deals {{atk_scale}:.0%} damage,,,
,,,,5,4,0,0,,The next attack deals {{atk_scale}:.0%} damage,,,
,,,,6,4,0,0,,The next attack deals {{atk_scale}:.0%} damage,,,
,,,,7,4,0,0,,The next attack deals {{atk_scale}:.0%} damage,,,
Haze,4,skcom_atk_up[2],Attack Strengthening·Type β,1,40,0,25,Regen over time,Attack power +{{atk}:.0%},,,
,,,,2,40,0,25,,Attack power +{{atk}:.0%},,,
,,,,3,40,0,25,,Attack power +{{atk}:.0%},,,
,,,,4,37,0,25,,Attack power +{{atk}:.0%},,,
,,,,5,37,0,25,,Attack power +{{atk}:.0%},,,
,,,,6,37,0,25,,Attack power +{{atk}:.0%},,,
,,,,7,37,5,25,,Attack power +{{atk}:.0%},,,
,,,,8,37,5,25,,Attack power +{{atk}:.0%},,,
,,,,9,37,5,25,,Attack power +{{atk}:.0%},,,
,,,,10,35,10,25,,Attack power +{{atk}:.0%},,,
Haze,4,skchr_nights_2,Crimson Eyes,1,35,0,25,Regen over time,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,2,35,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,3,35,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,4,35,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,5,35,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,6,35,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,7,30,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,8,30,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,9,30,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
