Character,Rarity,Talent Name,Talent Description,Required Level,Required Potential Rank
Yato,2,Quick Redeployment,Redeployment time -30 seconds,Lvl 30,0
Fang,3,Lightening,Self deployment cost -1,Elite 1 Lvl 1,0
Vanilla,3,Attack Increase,Attack +4%,Elite 1 Lvl 1,0
,,Attack Increase,Attack +8%,Elite 1 Lvl 55,0
Plume,3,Attack Increase,Attack +4%,Elite 1 Lvl 1,0
,,Attack Increase,Attack +8%,Elite 1 Lvl 55,0
Courier,4,Snow Patroller,"When blocking 2 or more enemies, Defense +8%",Elite 1 Lvl 1,0
,,Snow Patroller,"When blocking 2 or more enemies, Defense +11% (+3%)",Elite 1 Lvl 1,4
,,Snow Patroller,"When blocking 2 or more enemies, Defense +16%",Elite 2 Lvl 1,0
,,Snow Patroller,"When blocking 2 or more enemies, Defense +19% (+3%)",Elite 2 Lvl 1,4
Scavenger,4,Lone Wolf,"While there are no allies in the 4 adjacent tiles, Attack and Defense +5%",Elite 1 Lvl 1,0
,,Lone Wolf,"While there are no allies in the 4 adjacent tiles, Attack and Defense +7% (+2%)",Elite 1 Lvl 1,4
,,Lone Wolf,"While there are no allies in the 4 adjacent tiles, Attack and Defense +11%",Elite 2 Lvl 1,0
,,Lone Wolf,"While there are no allies in the 4 adjacent tiles, Attack and Defense +13% (+2%)",Elite 2 Lvl 1,4
Vigna,4,Brute Thrust,"When attacking, 10% chance to increase Attack by +50%. Chance is increased to 30% while skill is active",Elite 1 Lvl 1,0
,,Brute Thrust,"When attacking, 10% chance to increase Attack by +60% (+10%). Chance is increased to 30% while skill is active",Elite 1 Lvl 1,4
,,Brute Thrust,"When attacking, 10% chance to increase Attack by +100%. Chance is increased to 30% while skill is active",Elite 2 Lvl 1,0
,,Brute Thrust,"When attacking, 10% chance to increase Attack by +110% (+10%). Chance is increased to 30% while skill is active",Elite 2 Lvl 1,4
Myrtle,4,Glistening Light,"When deployed, all 【Vanguard】 operatives recover 25 HP every second",Elite 2 Lvl 1,0
,,Glistening Light,"When deployed, all 【Vanguard】 operatives recover 28 (+3) HP every second",Elite 2 Lvl 1,4
Зима (Zima),5,Assault Leader,Self deployment cost -1,Elite 1 Lvl 1,0
