"Fast Link for toolbox to hear voiceline ",,,"https://aceship.github.io/AN-EN-Tags/akhrchars.html",,"Please update the Translate Progress after finished editting",,
"Chara_ID","Character","Voiceline Title","Voiceline Title EN","Voiceline","Translation EN","Translation JP",
"char_002_amiya","Amiya","任命助理","Assign Secretary","博士，您工作辛苦了。","Doctor, thank you for your hard work.","ドクター、お仕事お疲れ様です。",
"char_002_amiya","Amiya","交谈1","Conversation 1","凯尔希医生教导过我，工作的时候一定要保持全神贯注......嗯，全神贯注。","Dr Kal'stit said that when you're working, you have to focus... Yes, I have to focus.","ケルシー先生が言ってました「仕事をする時は集中しなければいけ集中しなきゃないと」。。。ん、集中しなきゃ。",
"char_002_amiya","Amiya","交谈2","Conversation 2","罗德岛全舰正处于通常航行状态。博士，整理下航程信息吧？","Rhodes Island is in regular cruising mode. Doctor, won't you check our navigation schedule?","ロドスの全館は通常航行モードです。ドクター、航行スケジュールをチェックしませんか。",
"char_002_amiya","Amiya","交谈3","Conversation 3","作为罗德岛的领导者我还有很多不成熟的地方，希望您能更多地为我指明前进的方向。","As Rhodes Island's leader, I'm still inexperienced... So please, show us the path that we should continue down.","ロドスのリーダーとして私はまだまだ未熟で。。。ですから、これからの進むべき道をもっと教えてくださいね。",
"char_002_amiya","Amiya","晋升后交谈1","Elite Promotion Conversation 1","虽然这可能是我一厢情愿的想法，但我希望罗德岛能成为大家的第二个故乡......","This is a selfish thought, but I'd be happy if Rhodes Island could become everyone's second home.","これは私の身勝手な考えかもしれません、でも、ロドスの皆さんにとって、ここが第二の故郷になってからうれしいな。",
"char_002_amiya","Amiya","晋升后交谈2","Elite Promotion Conversation 2","我们失去了很多才走到今天。有时候我会问自己，这一切真的值得么....？","While losing a lot of things, we finally made it here. But sometimes I get uneasy; is this really okay?","たくさんな物を失いながら、漸くここまでたどり着きました。でも時々不安になってしまいます。本当にこれで良かったかなと。。。",
"char_002_amiya","Amiya","信赖提升后交谈1","High Trust Conversation 1","有时候，我会想起寒冷的家乡，那里就连空气中都弥漫着铜锈的味道。相比之下罗德岛是如此的温暖。所以，为了守护好这里，我必须更加努力才行。","Someimtes, I remember my hometown. It was really cold, and the stench of rust filled the air. Compared to that, Rhodes Island is warm. So, I'll do my best, and properly protect this place.","時々、故郷のことを思い出します。とても寒くて、町の空気からも錆び臭い匂いが漂うなところでした。それに比べて、ロドスはこんなにも暖かい。だから、私はもっともっと頑張って、しっかりこの場所を守っていかなければならないと思っています。",
"char_002_amiya","Amiya","信赖提升后交谈2","High Trust Conversation 2","嘿嘿，{@nickname}，悄悄告诉你一件事——我重新开始练小提琴了。","Ufu~Actually, I've started violin practice again. At the part next time, I'm going to surprise everyone. So, please keep it a secret","うふ～実は私、またバイオリンの練習をし始めたんです。今度のパーティーで、皆さんにサプライズを。だからドクター、皆さんには内緒ですよ。",
"char_002_amiya","Amiya","信赖提升后交谈3","High Trust Conversation 3","博士，我们的脚下，是一条漫长的道路......也许这是一次没有终点的旅行，但如果是和您一起，我觉得，非常幸福。","Doctor, the path that we are walking down may not have an end. But if I can walk alongside you, it would make me very happy.","ドクター、私たちの歩む道は終わりなき旅 しかもしれません。でも、それをドクターと共に歩むことができて、私はとても幸せです。",
"char_002_amiya","Amiya","闲置","Idle","博士，您还有许多事情需要处理。现在还不能休息哦。","Doctor, there's still lots of work that hasn't been finished, so you can't rest yet.","ドクター、終わってない仕事がたくさんありますよから、まだ休んじゃダメですよ。",
"char_002_amiya","Amiya","干员报到","Operator Reporting In","博士，能再见到您......真是太好了。今后我们同行的路还很长，所以，请您多多关照！","Doctor, I'm glad that we could meet again. The path that we take is still long and dangerous, but for now, I look forward to working with you.","ドクター、また会えてうれしいです。私たちの行く道はまだ長く険しいものですが、とにかくこれからも、よろしくお願いします。",
"char_002_amiya","Amiya","观看作战记录","Watching Combat Tape","原来是这样......博士，谢谢您！这些指导，真的很有帮助！","I see, it was all useful information. Doctor, I thank you for your guidance.","なるほど、本当に役に立つ知識ばかりです。ドクターご指導頂きありがとうございます。",
"char_002_amiya","Amiya","精英化晋升1","Elite 1","能再一次和您并肩作战真是太好了，博士！","Doctor, I'm glad that I can fight alongside you again.","ドクターまたあなたと一緒に戦えて、本当に嬉しいです。",
"char_002_amiya","Amiya","精英化晋升2","Elite 2","那一天所看到的光景，想要呐喊却无法发出声音的绝望......希望能把这些，永远藏在记忆的最深处......","The scene that I saw that day... The feeling of despair that was so strong that I couldn't even cry out, I want to lock it up in the deepest part of my memories, but...","あの日の目にあ気づいたた光景。。。叫びたくても、声を出せないほどの絶望感、全部記憶の奥底に閉じ込められたらいいのに。。。",
"char_002_amiya","Amiya","编入队伍","Assign to Team","嗯，我知道了。","Yes, understood","はい、分かりました。",
"char_002_amiya","Amiya","任命队长","Assign to Team Leader","我不会辜负大家的。","I will try to meet everyone's expectations","皆さんの期待を応えて見せます。",
"char_002_amiya","Amiya","行动出发","Operation Sortie","行动开始！","Beginning operation!","行動開始します！",
"char_002_amiya","Amiya","行动开始","Operation Start","来了！大家，请做好战斗准备！","Enemies are approaching. Everyone, please prepare for battle!","敵が来ます。皆さん、戦闘の準備をしてください！",
"char_002_amiya","Amiya","选中干员1","Selected Operator 1","是。","Hai!","はい。",
"char_002_amiya","Amiya","选中干员2","Selected Operator 2","博士，我在这里。","Doctor, I'm right here.","ドクター、私はここに。",
"char_002_amiya","Amiya","部署1","Deploy 1","我知道了！","Understood.","分かりました！",
"char_002_amiya","Amiya","部署2","Deploy 2","了解。","Roger that.","了解しました。",
"char_002_amiya","Amiya","作战中1","In Combat 1","我知道你在想什么。","I can see what you're thinking.","あなたの考えは、お見通しですよ。",
"char_002_amiya","Amiya","作战中2","In Combat 2","大家可都相信着我！","Everyone is placing their trust in me!","皆さんが私のことを信じてくれてますから！",
"char_002_amiya","Amiya","作战中3","In Combat 3","你们在害怕我？","Do I... scare you?","私が。。。怖いですか。",
"char_002_amiya","Amiya","作战中4","In Combat 4","这个声音在......哭？","This voice... is crying?","この声は。。。泣いている？",
"char_002_amiya","Amiya","4星结束行动","Complete Operation with 4 stars","无论多么艰难的任务，只要有博士在，就一定能完成，我一直这样坚信着！","Even if there are difficult missions, as long as Doctor is here, I believe we'll be alright!","どんなに困難な任務でも、ドクターさえいれば、きっと大丈夫と信じてます！",
"char_002_amiya","Amiya","3星结束行动","Complete Operation with 3 stars","即使是完美的胜利，大家也要保持警惕，不要太过放松哦！","Everyone, even in a perfect victory, don't let your guard down until the alert has been cleared.","皆さん、完璧な勝利でも、警戒態勢が完全に解かれるまでは、気を抜かないでくださいね。",
"char_002_amiya","Amiya","非3星结束行动","Complete Operation with 2 stars","博士，辛苦了！累了的话请休息一会儿吧。","Doctor, thank you for your hard work. Don't push yourself, and rest for a little while.","ドクター、お疲れさまでした。無理をせず、少し休んでくださいね。",
"char_002_amiya","Amiya","行动失败","Failed Operation","我没事的......大家，请振作起来！","I'm alright. Everyone, please hold it together!","私は大丈夫です。皆さん、しっかりしてください！",
"char_002_amiya","Amiya","进驻设施","Assign to Station","有什么想喝的吗，博士？","Would you like something to drink, Doctor?","何か飲みませんか、ドクター？",
"char_002_amiya","Amiya","戳一下","Poke","欸？博士？","Kya?! Doctor?","きゃっ？！ドクター？",
"char_002_amiya","Amiya","信赖触摸","Poke with Trust Bubble","欸嘿嘿......","Ehehe~","えへへ～",
"char_002_amiya","Amiya","标题","Title Screen","明日方舟。","Arknights.","アークナイツ。",
"char_002_amiya","Amiya","问候","Greeting","欢迎回家，博士！","Welcome back, Doctor.","お帰り、ドクター。",
"char_009_12fce","12F","任命助理","Assign Secretary","抱歉，我能做的事情很有限，也不太会说话，但作为助理感到很荣幸，如果我能帮到博士阁下那就太好了。",,"申し訳ありません、ドクター殿。私はこの通り力が弱いゆえ、口が達者なわけでもありませんが、それでもアシスタントを務めさせていただけることは、至上の喜びです、ぜひお手伝いさせてください。",
"char_009_12fce","12F","交谈1","Conversation 1","博士阁下，一切不愉快的事情都会过去，大家都是相信您的到来能让一切变得更好，才愿意追随您的，请相信自己。",,"ドクター殿、いやなことはいずれ過ぎ去っていくものです。みなさんはドクター殿を信頼してついてきているのですから、もっと自信をお持ちください。",
"char_009_12fce","12F","交谈2","Conversation 2","很多感染者来到罗德岛生活，并没有怀着多么远大的目标，他们更希望是成为这里的一份子。在这个不再接受他们的世界里活下去，这样下去可不行......",,"感染者が普通の生活を営むことを、この世界は許してくれません。夢や希望を忘れてしまった彼らは、ロドスの一員となって生きていくことを願うしかないんです。こんな世界、間違っています。",
"char_009_12fce","12F","交谈3","Conversation 3","巨枭她虽然对人不是很友好，不过她并没有什么恶意，希望您可以多多包涵。",,"アウルはあんな態度ですが、悪気はないはずです、大目に見てやっていただけませんか。",
"char_009_12fce","12F","信赖提升后交谈1","High Trust Conversation 1","12F？那是我来到这个世界的日子。博士你就把这天当作是我的生日吧。",,"トゥエルブエフという名前の由来ですか？それは、私がこの世界に来た日……そうですね、私の誕生日ということにしましょう、ドクター殿。",
"char_009_12fce","12F","信赖提升后交谈2","High Trust Conversation 2","我可能追随不了一个人一辈子，不过现在至少是这一辈子我追随一个人的开始。",,"誰かに一生ついていくことは叶わないかもしれません。ですが、少なくとも今は、その始まりの一日になると確信しています。",
"char_009_12fce","12F","信赖提升后交谈3","High Trust Conversation 3","“她”终于找到你了，博士。这真是一次漫长的旅程。你对“她”,以及所有人来说有着非常重要的意义......",,"ようやく”カノジョ”は、あなたを見つけられたようですね。この長い旅路の中で、あなたは”カノジョ”にとって……いいえ、すべての人にとって、特別な存在になるはずです。",
