"Chara","Translated By","Proofreader","Progress Total 
25%","Last Update Date","Extra comment"
"Amiya","Nyanko",,100%,22-06-2019,
"12F","Holdomino(JP)",,50%,30-06-2019,
"Sora","Holdomino(JP), Bento","Nyanko",100%,23-06-2019,
"Texas","Hakurai, Nyanko","Nyanko, Bento",100%,12-06-2019,
"Exusiai","Bento","Nyanko",100%,23-06-2019,
"Franka","Ahri, Holdomino",,100%,30-06-2019,
"Liskarm","Nyanko",,100%,21-06-2019,
"Silence",,,,,
"Gitano",,,,,
"Deepcolor",,,,,
"Siege","Hakurai",,20%,,
"зима","Number",,100%,26-6-19,
"Myrrh",,,,,
"ShiraYuki",,,,,
"Hibiscus",,,,,
"Lava",,,,,
"Beagle",,,,,
"Fang",,,,,
"Kroos","Number",,100%,,
"Meteor",,,,,
"Estelle",,,,,
"Ptilopsis",,,,,
"Blue Poison","Negla",,100%,21-06-2019,"PROTECT FROG ;;  (also i took some liberties in translating her incredibly formal tone)"
"Dobermann","Nyanko",,100%,21-06-2019,
"Ifrit",,,,,
"Hoshiguma",,,,,
"Beehunter",,,,,
"Lappland","Bento","Nyanko (JP transcribing)",100%,23-06-2019,
"Haze",,,,,
"Specter",,,,,
"Projekt Red","Nyanko","Bento",100%,13-06-2019,"red sounds dumb can someone proof me thanks"
"Provence","Nyanko",,,,
"Shining",,,,,
"Nearl",,,,,
"Scavenger",,,,,
"Cuora",,,,,
"Indra",,,,,
"Firewatch",,,,,
"Vulcan",,,,,
"Nightmare",,,,,
"Skyfire","Number","Holdomino",100%,25-6-2019,"Theres two unkown operators mentioned in my waifu's voiceline. Official name to be confirmed."
"Warfarin",,,,,
"SilverAsh","Negla",,40%,22-06-2019,
"Cliffheart",,,,,
"Pramanix",,,,,
"Nightingale",,,,,
"Eyjafjalla",,,,,
"Perfumer",,,,,
"Earthspirit",,,,,
"Mousse",,,,,
"Gavial",,,,,
"Plume",,,,,
"Frostleaf",,,,,
"Истина",,,,,
"ГУМ",,,,,
"Courier","Negla",,100%,22-06-2019,
"Matterhorn",,,,,
"Croissant","Nyanko, Holdomino","Bento",100%,12-06-2019,"what the fuck kansaiben help"
"Saria","Holdomino",,50%,26-06-2019,
"Platinum",,,,,
"Melantha",,,,,
"Cardigan",,,,,
"Steward",,,,,
"Adnachiel",,,,,
"Ansel",,,,,
"Manticore",,,,,
"Meteorite",,,,,
"Grani","Holdomino, Nyanko",,100%,26-08-2019,
"Savage","LuxNova","Holdomino",100%,25-06-2019,"Used CN_008_a voice file for High Trust Conversation 2"
"Jessica",,,,,
"Rope",,,,,
"Gravel",,,,,
"Vanilla",,,,,
"FEater",,,,,
"Mayer",,,,,
"Skadi","Holdomino, LuxNova",,95%,18-07-2019,"Self-proofread some lines; ready for proofread"
"Shaw",,,,,
"Orchid","Holdomino",,50%,25-06-2019,
"Catapult",,,,,
"Midnight",,,,,
"Lancet-2",,,,,
"Castle-3",,,,,
"Matoimaru","Nyanko",,100%,13-06-2019,
"Vigna",,,,,
"Angelina","Nyanko",,100%,22-06-2019,
"Noir Corne",,,,,
"Durin",,,,,
"Yato",,,,,
"Rangers",,,,,
"Ch'en","Bento, Holdomino",,100%,16-07-2019,
"Swire","Holdomino",,50%,15-07-2019,
"Popukar","Holdomino",,50%,22-07-2019,
"Greyy",,,,,
"Spot",,,,,
"Sussurro",,,,,
"Glaucus",,,,,
"Schwarz",,,,,
"Ceylon",,,,,
