"基础作战记录","Drill Battle Record","none","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。\n存储了数场战斗的录像。","In such a hostile environment, every operation has the potential for a loss of life. We may be able to save more people if we are well prepared.
A video record of several battles.","sprite_exp_card_t1"
"初级作战记录","Frontline Battle Record","none","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。\n存储了多场战斗的录像与详细数据分析资料。附送了三小时的花絮与访谈。","In such a hostile environment, every operation has the potential for a loss of life. We may be able to save more people if we are well prepared.
A video record of several battles, with detailed statistical analysis, plus 3 hours of additional materials and interviews.","sprite_exp_card_t2"
"中级作战记录","Tactical Battle Record","none","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。\n存储了多个录像集锦，夹带了一张录像人的签名版。","In such a hostile environment, every operation has the potential for a loss of life. We may be able to save more people if we are well prepared.
A video record of several battles, plus the signature of the one who recorded them.","sprite_exp_card_t3"
"高级作战记录","Strategic Battle Record","none","在恶劣环境下的每次行动都可能有人会丢掉性命。如果做好了充足的准备，或许也能多拯救一些生命。\n追加了总集篇。附带高清版、高清重制版、威力加强版、导演剪辑版、年度黄金版……","In such a hostile environment, every operation has the potential for a loss of life. We may be able to save more people if we are well prepared.
Including an edited copy, plus an HD version, a UHD remastered version, a copy of the HD version, a director's cut, a deluxe version...","sprite_exp_card_t4"
"赤金","Pure Gold","none","需要多少矿石才能提炼出如此贵重的金条呢——之类的想法已经不重要了。现在它正整整齐齐堆在你眼前，这才是关键啊。","How much ore does it take to make such valuable gold bars? It doesn't matter. What matters is that they're yours.","MTL_GOLD3"
"龙骨","Keel","none","整个罗德岛得以构成的基础。不知道为何，罗德岛在一些特别的设施中会经常使用这种结构复杂且必须特别制作或购买的巨型原件。","The foundation of the entire construction operation at Rhodes Island. Although this giant, complicated component must be custom made or ordered, for some reason, Rhodes Island often uses it to build special facilities.","MTL_BASE_ESS"
"碳","Carbon Stick","none","可生产出种类繁多的聚合物，是工业制造不可缺少的原材料之一。","One of the necessary industrial materials, it can be used to produce a variety of polymers.","MTL_BASE_SL1"
"碳素","Carbon Brick","none","轻量，高纯度，具备优质的可加工性，我们如今的辉煌时代正是建立在它们的脊梁上。","Light and highly pure, it possesses excellent workability, and is instrumental to the success of our operations.","MTL_BASE_SL2"
"碳素组","Carbon Brick","none","大量的碳素资源。每一块砖都饱含着燃烧的工业之魂。","A large number of carbon bricks. Every one of them has a burning soul for modern industry.","MTL_BASE_SL3"
"基础加固建材","Light Building Material","none","对房间进行改造时，如果不施加妥善的处理，施工将会对承重部位造成不可逆转的破坏。请在启动工程前使用加固建材保证房间完整性。","Room modification causes irreversible damage to load bearing parts if not handled properly. Please use building materials before commencing modification in order to guarantee the integrity of the room.","MTL_BASE_SYNTH1"
"进阶加固建材","Concrete Building Material","none","如果打算对土木结构较为脆弱的区域内的房间进行改造，请在施工前使用此种建材进行维护。这样一来，建设初期的安全隐患将会迎刃而解。之后，请开始您的表演。","Before conducting modifications to rooms with poor structural integrity, please use this building material for maintenance to ensure the safety of the work site. Only then will you be ready to begin.","MTL_BASE_SYNTH2"
