"Character","Rarity","Skill Name","Skill Level","Skill Description","SP Cost","Initial SP","Skill Duration","Charging Type"
"Gravel","4","Shadow Raid","1","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1","Passive"
"","","","2","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","3","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","4","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","5","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","6","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","7","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","8","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","9","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","10","Defense +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"Gravel","4","Rat Pack","1","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1","Passive"
"","","","2","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","3","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","4","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","5","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","6","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","7","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","8","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","9","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"","","","10","Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds","0","0","-1",""
"Rope","4","Hook Shot","1","The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} physical damage","7","0","0","Regen over time"
"","","","2","The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} physical damage","7","0","0",""
"","","","3","The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} physical damage","7","0","0",""
"","","","4","The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","5","The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","6","The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","7","The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"","","","8","The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"","","","9","The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"","","","10","The next attack will pull the enemy towards self with large force, dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"Rope","4","Duplex Hook","1","Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage","25","10","0","Regen over time"
"","","","2","Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage","24","10","0",""
"","","","3","Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage","23","10","0",""
"","","","4","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","22","10","0",""
"","","","5","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","21","10","0",""
"","","","6","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","20","10","0",""
"","","","7","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","19","10","0",""
"","","","8","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","18","10","0",""
"","","","9","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","17","10","0",""
"","","","10","Pull 2 faraway enemies towards self with large force, dealing {{atk_scale}:.0%} physical damage","15","10","0",""
"Ethan","4","Fancy Maneuver","1","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0","Passive"
"","","","2","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","3","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","4","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","5","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","6","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","7","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","8","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","9","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"","","","10","Attacks inflict {{attack@poison_damage}:.0f} magic damage per second for {{attack@duration}:.0f} seconds to the target","0","0","0",""
"Ethan","4","Cross Suspension","1","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","20","Regen over time"
"","","","2","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","20",""
"","","","3","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","20",""
"","","","4","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","22",""
"","","","5","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","22",""
"","","","6","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","22",""
"","","","7","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","24",""
"","","","8","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","26",""
"","","","9","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","28",""
"","","","10","Attack +{{atk}:.0%}, talent activation chance increases to {talent_scale}x","25","0","30",""
"Shaw","4","Steam Pump","1","The next attack will push the target away with small force, dealing {{atk_scale}:.0%} physical damage","6","0","0","Regen over time"
"","","","2","The next attack will push the target away with small force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","3","The next attack will push the target away with small force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","4","The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","5","The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","6","The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","7","The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage","6","0","0",""
"","","","8","The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"","","","9","The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"","","","10","The next attack will push the target away with large force, dealing {{atk_scale}:.0%} physical damage","5","0","0",""
"Shaw","4","High-pressure Water Cannon","1","Immediately push away all enemies 2 tiles ahead with small force, dealing {{atk_scale}:.0%} physical damage","20","0","0","Regen over time"
"","","","2","Immediately push away all enemies 2 tiles ahead with small force, dealing {{atk_scale}:.0%} physical damage","20","0","0",""
"","","","3","Immediately push away all enemies 2 tiles ahead with small force, dealing {{atk_scale}:.0%} physical damage","20","0","0",""
"","","","4","Immediately push away all enemies 2 tiles ahead with medium force, dealing {{atk_scale}:.0%} physical damage","20","0","0",""
"","","","5","Immediately push away all enemies 2 tiles ahead with medium force, dealing {{atk_scale}:.0%} physical damage","20","0","0",""
"","","","6","Immediately push away all enemies 2 tiles ahead with medium force, dealing {{atk_scale}:.0%} physical damage","20","0","0",""
"","","","7","Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage","20","0","0",""
"","","","8","Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage","19","0","0",""
"","","","9","Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage","18","0","0",""
"","","","10","Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage","17","0","0",""
"Projekt Red","5","Execution Mode","1","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10","Passive"
"","","","2","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","3","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","4","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","5","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","6","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","7","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","8","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","9","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"","","","10","Attack +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical and magical evasion","0","0","10",""
"Projekt Red","5","Wolf Pack","1","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0","Passive"
"","","","2","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","3","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","4","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","5","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","6","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","7","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","8","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","9","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"","","","10","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds","0","0","0",""
"Waai Fu","5","Explosive Strike","1","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10","Passive"
"","","","2","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","3","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","4","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","5","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","6","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","7","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","8","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","9","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"","","","10","Attack +{{waaifu_s_1[self].atk}:.0%} after deployment, additionally attacks inflict {{attack@waaifu_s_1[debuff].atk}:.0%} Attack to the target for {{attack@waaifu_s_1[debuff].duration}:.0f} seconds","0","0","10",""
"Waai Fu","5","Disruption Kick","1","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0","Passive"
"","","","2","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
"","","","3","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
"","","","4","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
"","","","5","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
"","","","6","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
"","","","7","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
"","","","8","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
"","","","9","Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and seal their special abilities for {{silence}:.0f} seconds","0","0","0",""
