"Character","Rarity","Skill Name","Skill Level","Skill Description","SP Cost","Initial SP","Skill Duration","Charging Type"
"Orchid","3","Swift Strike·Type α","1","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","55","0","25","Regen over time"
"","","","2","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","54","0","25",""
"","","","3","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","53","0","25",""
"","","","4","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","50","0","25",""
"","","","5","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","49","0","25",""
"","","","6","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","48","0","25",""
"","","","7","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","45","0","25",""
"Deepcolor","4","Tentacles of Light & Shadow","1","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","40","0","30","Regen over time"
"","","","2","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","39","0","30",""
"","","","3","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","38","0","30",""
"","","","4","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","37","0","30",""
"","","","5","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","36","0","30",""
"","","","6","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","35","0","30",""
"","","","7","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","34","0","30",""
"","","","8","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","33","0","30",""
"","","","9","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","32","0","30",""
"","","","10","All tentacles gain +{{atk}:.0%} Attack and Defense, and recover {{hp_recovery_per_sec}:.0f} HP every second","30","0","30",""
"Deepcolor","4","Vision Trap","1","Increase attack range. All allies within attack range gain {{prob}:.0%} physical evasion","80","40","25","Regen over time"
"","","","2","Increase attack range. All allies within attack range gain {{prob}:.0%} physical evasion","80","42","28",""
