Character,Rarity,Talent Name,Talent Description,Required Level,Required Potential Rank
Lancet-2,1,Healing Mist·I,Immediately restore 200 HP to all allies after deployment,Lvl 1,0
,,Healing Mist·II,Immediately restore 260 HP to all allies after deployment,Lvl 1,1
,,Healing Mist·III,Immediately restore 320 HP to all allies after deployment,Lvl 1,2
,,Healing Mist·IV,Immediately restore 380 HP to all allies after deployment,Lvl 1,3
,,Healing Mist·V,Immediately restore 440 HP to all allies after deployment,Lvl 1,4
,,Healing Mist·VI,Immediately restore 500 HP to all allies after deployment,Lvl 1,5
Hibiscus,3,Healing Power Increase,Attack +4%,Elite 1 Lvl 1,0
,,Healing Power Increase,Attack +8%,Elite 1 Lvl 55,0
Ansel,3,Additional Healing,Has 7% chance to heal an additional ally,Elite 1 Lvl 1,0
,,Additional Healing,Has 10% (+3%) chance to heal an additional ally,Elite 1 Lvl 1,4
,,Additional Healing,Has 15% chance to heal an additional ally,Elite 1 Lvl 55,0
,,Additional Healing,Has 18% (+3%) chance to heal an additional ally,Elite 1 Lvl 55,4
Myrrh,4,First Aid Kit,"After deployment, immediately heal all allies for 100% of Myrrh's Attack",Elite 1 Lvl 1,0
,,First Aid Kit,"After deployment, immediately heal all allies for 110% (+10%) of Myrrh's Attack",Elite 1 Lvl 1,4
,,First Aid Kit,"After deployment, immediately heal all allies for 150% of Myrrh's Attack",Elite 2 Lvl 1,0
,,First Aid Kit,"After deployment, immediately heal all allies for 160% (+10%) of Myrrh's Attack",Elite 2 Lvl 1,4
Gavial,4,Battlefield Medic,"After deployment, all ally 【Medic】 operatives gain Attack +5%, Defense +50 for 15 seconds",Elite 1 Lvl 1,0
,,Battlefield Medic,"After deployment, all ally 【Medic】 operatives gain Attack +7% (+2%), Defense +70 (+20) for 17 (+2) seconds",Elite 1 Lvl 1,4
,,Battlefield Medic,"After deployment, all ally 【Medic】 operatives gain Attack +10%, Defense +100 for 15 seconds",Elite 2 Lvl 1,0
