Character,Rarity,Talent Name,Talent Description,Required Level,Required Potential Rank
Rangers,2,Anti-air Master,"When attacking flying targets, Attack +50%",Lvl 30,0
Kroos,3,Weakpoint Aiming·Beginner,"When attacking, 10% chance to increase Attack to 150%",Elite 1 Lvl 1,0
,,Weakpoint Aiming·Beginner,"When attacking, 10% chance to increase Attack to 160% (+10%)",Elite 1 Lvl 1,4
,,Weakpoint Aiming·Beginner,"When attacking, 20% chance to increase Attack to 150%",Elite 1 Lvl 55,0
,,Weakpoint Aiming·Beginner,"When attacking, 20% chance to increase Attack to 160% (+10%)",Elite 1 Lvl 55,4
Adnachiel,3,Weakness Breakthrough,"Attack speed +4, prioritize attacking enemies using ranged weapons",Elite 1 Lvl 1,0
,,Weakness Breakthrough,"Attack speed +8, prioritize attacking enemies using ranged weapons",Elite 1 Lvl 55,0
Catapult,3,Lightening,Self deployment cost -1,Elite 1 Lvl 1,0
Jessica,4,Rapid Magazine,Attack speed +6,Elite 1 Lvl 1,0
,,Rapid Magazine,Attack speed +12,Elite 2 Lvl 1,0
Meteor,4,Anti-air Specialization,"When attacking flying targets, Attack +20%",Elite 1 Lvl 1,0
,,Anti-air Specialization,"When attacking flying targets, Attack +25% (+5%)",Elite 1 Lvl 1,4
,,Anti-air Specialization,"When attacking flying targets, Attack +35%",Elite 2 Lvl 1,0
,,Anti-air Specialization,"When attacking flying targets, Attack +40% (+5%)",Elite 2 Lvl 1,4
ShiraYuki,4,Heavy Shuriken,"Slightly increase attack interval (+0.2 seconds), however Attack +20%",Elite 2 Lvl 1,0
Vermeil,4,Hunter's Experience,Self SP recovery speed +0.15 SP/sec  (does not stack with similar effects),Elite 1 Lvl 1,0
,,Hunter's Experience,Self SP recovery speed +0.3 SP/sec  (does not stack with similar effects),Elite 2 Lvl 1,0
May,4,Victorian Explorer,"Attack +4%, Attack speed +4",Elite 1 Lvl 1,0
,,Victorian Explorer,"Attack +5% (+1%), Attack speed +5 (+1)",Elite 1 Lvl 1,4
,,Victorian Explorer,"Attack +7%, Attack speed +7",Elite 2 Lvl 1,0
