Character,Rarity,Talent Name,Talent Description,Required Level,Required Potential Rank
Thermal-EX,1,Delayed Detonation·I,"3 seconds after deployment, deal 300% physical damage to all enemies in the surrounding 8 tiles and apply 【Weakening】 effect to them (damage taken is increased by 10%) (When stacked, only the strongest effect becomes active). Afterwards, Thermal-EX is forcibly retreated",Lvl 1,0
,,Delayed Detonation·II,"3 seconds after deployment, deal 320% physical damage to all enemies in the surrounding 8 tiles and apply 【Weakening】 effect to them (damage taken is increased by 18%) (When stacked, only the strongest effect becomes active). Afterwards, Thermal-EX is forcibly retreated",Lvl 1,1
,,Delayed Detonation·III,"3 seconds after deployment, deal 340% physical damage to all enemies in the surrounding 8 tiles and apply 【Weakening】 effect to them (damage taken is increased by 21%) (When stacked, only the strongest effect becomes active). Afterwards, Thermal-EX is forcibly retreated",Lvl 1,2
,,Delayed Detonation·IV,"3 seconds after deployment, deal 360% physical damage to all enemies in the surrounding 8 tiles and apply 【Weakening】 effect to them (damage taken is increased by 24%) (When stacked, only the strongest effect becomes active). Afterwards, Thermal-EX is forcibly retreated",Lvl 1,3
,,Delayed Detonation·V,"3 seconds after deployment, deal 380% physical damage to all enemies in the surrounding 8 tiles and apply 【Weakening】 effect to them (damage taken is increased by 27%) (When stacked, only the strongest effect becomes active). Afterwards, Thermal-EX is forcibly retreated",Lvl 1,4
,,Delayed Detonation·VI,"3 seconds after deployment, deal 400% physical damage to all enemies in the surrounding 8 tiles and apply 【Weakening】 effect to them (damage taken is increased by 30%) (When stacked, only the strongest effect becomes active). Afterwards, Thermal-EX is forcibly retreated",Lvl 1,5
Gravel,4,Quick Deployment,Self deployment cost -1,Elite 1 Lvl 1,0
,,Dwarfish Reinforcement,"Self deployment cost -1, All operatives with 10 or less initial cost gain Defense +6%",Elite 2 Lvl 1,0
,,Dwarfish Reinforcement,"Self deployment cost -1, All operatives with 10 or less initial cost gain Defense +8% (+2%)",Elite 2 Lvl 1,4
Rope,4,Auditory Training,Gain 15% physical evasion,Elite 1 Lvl 1,0
,,Auditory Training,Gain 19% (+4%) physical evasion,Elite 1 Lvl 1,4
,,Auditory Training,Gain 30% physical evasion,Elite 2 Lvl 1,0
,,Auditory Training,Gain 34% (+4%) physical evasion,Elite 2 Lvl 1,4
Shaw,4,Fire-fighting Gear,Magic resistance +7,Elite 1 Lvl 1,0
,,Fire-fighting Gear,Magic resistance +15,Elite 2 Lvl 1,0
Ethan,4,Binding,Attacks have 25% chance to bind the enemy (unable to move) for 2 seconds,Elite 1 Lvl 1,0
,,Binding,Attacks have 25% chance to bind the enemy (unable to move) for 3 seconds,Elite 2 Lvl 1,0
Projekt Red,5,Bonebreaker,Every attack will deal damage equal to at least 20% Attack,Elite 1 Lvl 1,0
,,Bonebreaker,Every attack will deal damage equal to at least 23% (+3%) Attack,Elite 1 Lvl 1,4
,,Bonebreaker,Every attack will deal damage equal to at least 30% Attack,Elite 2 Lvl 1,0
,,Bonebreaker,Every attack will deal damage equal to at least 33% (+3%) Attack,Elite 2 Lvl 1,4
Cliffheart,5,Snow Hunter,"When not blocking any enemies, Attack and Defense +6%",Elite 1 Lvl 1,0
,,Snow Hunter,"When not blocking any enemies, Attack and Defense +8% (+2%)",Elite 1 Lvl 1,4
,,Snow Hunter,"When not blocking any enemies, Attack and Defense +12%",Elite 2 Lvl 1,0
,,Snow Hunter,"When not blocking any enemies, Attack and Defense +14% (+2%)",Elite 2 Lvl 1,4
Manticore,5,Hidden Killer·Intermediate,Stays hidden when idle (will not be targeted by ranged attacks). Attacking will remove the hidden status and grant +25% Attack power to the current attack. Regain hidden status after not attacking for 6 seconds,Elite 1 Lvl 1,0
,,Hidden Killer·Intermediate,Stays hidden when idle (will not be targeted by ranged attacks). Attacking will remove the hidden status and grant +29% (+4%) Attack power to the current attack. Regain hidden status after not attacking for 6 seconds,Elite 1 Lvl 1,4
,,Hidden Killer·Elite,Stays hidden when idle (will not be targeted by ranged attacks). Attacking will remove the hidden status and grant +50% Attack power to the current attack. Regain hidden status after not attacking for 5 seconds,Elite 2 Lvl 1,0
,,Hidden Killer·Elite,Stays hidden when idle (will not be targeted by ranged attacks). Attacking will remove the hidden status and grant +54% (+4%) Attack power to the current attack. Regain hidden status after not attacking for 5 seconds,Elite 2 Lvl 1,4
FEater,5,Kungfu,Gain 20% physical evasion,Elite 1 Lvl 1,0
,,Kungfu,Gain 23% (+3%) physical evasion,Elite 1 Lvl 1,4
,,Kungfu,Gain 40% physical evasion,Elite 2 Lvl 1,0
