Character,Rarity,Talent Name,Talent Description,Required Level,Required Potential Rank
Orchid,3,Casting Speed Increase,Attack speed +5,Elite 1 Lvl 1,0
,,Casting Speed Increase,Attack speed +9,Elite 1 Lvl 55,0
Deepcolor,4,Summon Tentacles,Can summon 2 tentacles to assist in battle,Lvl 1,0
,,Summon Tentacles,Can summon 3 tentacles to assist in battle,Elite 1 Lvl 1,0
,,Summon Tentacles,Can summon 4 tentacles to assist in battle,Elite 2 Lvl 1,0
Earthspirit,4,Geological Exploration,Slight increase to the duration of the slow effect (+0.1),Elite 2 Lvl 1,0
,,Geological Exploration,Small increase to the duration of the slow effect (+0.13),Elite 2 Lvl 1,4
Podenco,4,Gardener,"When deployed, all 【Supporter】 operatives gain Attack +5%",Elite 1 Lvl 1,0
,,Gardener,"When deployed, all 【Supporter】 operatives gain Attack +7% (+2%)",Elite 1 Lvl 1,4
,,Gardener,"When deployed, all 【Supporter】 operatives gain Attack +9%",Elite 2 Lvl 1,0
,,Gardener,"When deployed, all 【Supporter】 operatives gain Attack +11% (+2%)",Elite 2 Lvl 1,4
Mayer,5,Mechanical Otters,Can summon 3 mechanical otters. Inflict Attack speed -10 to enemies attacking the otters,Lvl 1,0
,,Mechanical Otters,Can summon 4 mechanical otters. Inflict Attack speed -25 to enemies attacking the otters,Elite 1 Lvl 1,0
,,Mechanical Otters,Can summon 5 mechanical otters. Inflict Attack speed -25 to enemies attacking the otters,Elite 2 Lvl 1,0
Pramanix,5,Weakening,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 15%) (When stacked, only the strongest effect becomes active)",Elite 1 Lvl 1,0
,,Weakening,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 18% (+3%)) (When stacked, only the strongest effect becomes active)",Elite 1 Lvl 1,4
,,Weakening,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 30%) (When stacked, only the strongest effect becomes active)",Elite 2 Lvl 1,0
,,Weakening,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 33% (+3%)) (When stacked, only the strongest effect becomes active)",Elite 2 Lvl 1,4
,,Echo,Attacks 2 targets simultaneously,Elite 2 Lvl 1,0
Истина (Istina),5,Detector,"Defense -35%, however Attack speed +18",Elite 2 Lvl 1,0
,,Detector,"Defense -35%, however Attack speed +21 (+3)",Elite 2 Lvl 1,4
Sora,5,Encore,"When the skill ends, 50% chance to immediately recover 25% maximum SP",Elite 1 Lvl 1,0
,,Encore,"When the skill ends, 50% chance to immediately recover 50% maximum SP",Elite 2 Lvl 1,0
Glaucus,5,Counter Device,"Prioritize attacking drones, Attack +25% when attacking drones",Elite 1 Lvl 1,0
,,Counter Device,"Prioritize attacking drones, Attack +30% (+5%) when attacking drones",Elite 1 Lvl 1,4
,,Counter Device,"Prioritize attacking drones, Attack +50% when attacking drones",Elite 2 Lvl 1,0
,,Counter Device,"Prioritize attacking drones, Attack +55% (+5%) when attacking drones",Elite 2 Lvl 1,4
Shamare,5,Omen of Defeat,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 10%) (When stacked, only the strongest effect becomes active)",Lvl 1,0
,,Omen of Defeat,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 13% (+3%)) (When stacked, only the strongest effect becomes active)",Lvl 1,4
,,Omen of Defeat,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 20%) (When stacked, only the strongest effect becomes active)",Elite 1 Lvl 1,0
,,Omen of Defeat,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 23% (+3%)) (When stacked, only the strongest effect becomes active)",Elite 1 Lvl 1,4
,,Omen of Defeat,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 30%) (When stacked, only the strongest effect becomes active)",Elite 2 Lvl 1,0
,,Omen of Defeat,"When enemies within attack range have less than 40% HP, apply 【Weakening】 effect (damage taken is increased by 33% (+3%)) (When stacked, only the strongest effect becomes active)",Elite 2 Lvl 1,4
Tsukinogi,5,Blessing,"When allies within attack range have less than 40% HP, apply 【Shelter】 effect (physical and magic damage taken is reduced by 12%)",Elite 1 Lvl 1,0
,,Blessing,"When allies within attack range have less than 40% HP, apply 【Shelter】 effect (physical and magic damage taken is reduced by 14% (+2%))",Elite 1 Lvl 1,4
,,Blessing,"When allies within attack range have less than 40% HP, apply 【Shelter】 effect (physical and magic damage taken is reduced by 18%)",Elite 2 Lvl 1,0
,,Blessing,"When allies within attack range have less than 40% HP, apply 【Shelter】 effect (physical and magic damage taken is reduced by 20% (+2%))",Elite 2 Lvl 1,4
Angelina,6,Acceleration Field,All allies' Attack speed +3,Elite 1 Lvl 1,0
,,Acceleration Field,All allies' Attack speed +4 (+1),Elite 1 Lvl 1,5
,,Acceleration Field,All allies' Attack speed +7,Elite 2 Lvl 1,0
,,Acceleration Field,All allies' Attack speed +8 (+1),Elite 2 Lvl 1,5
,,Part-time Job,"While skill is not active, all allies recover 20 HP every second",Elite 2 Lvl 1,0
,,Part-time Job,"While skill is not active, all allies recover 25 (+5) HP every second",Elite 2 Lvl 1,2
Magallan,6,Support Drone · Dragon,Can summon 3 drones with 0 Block (can only deploy 3 together). Drone functionality changes depending on selected skill,Lvl 1,0
,,Support Drone · Dragon,Can summon 4 drones with 0 Block (can only deploy 3 together). Drone functionality changes depending on selected skill,Elite 1 Lvl 1,0
,,Support Drone · Dragon,Can summon 5 drones with 0 Block (can only deploy 3 together). Drone functionality changes depending on selected skill,Elite 2 Lvl 1,0
,,Optical Refraction Accessory,Drones are hidden for 12 seconds after deployment (will not be targeted by ranged attacks),Elite 1 Lvl 1,0
,,Optical Refraction Accessory,Drones are hidden for 14 (+2) seconds after deployment (will not be targeted by ranged attacks),Elite 1 Lvl 1,4
,,Optical Refraction Accessory,Drones are hidden for 20 seconds after deployment (will not be targeted by ranged attacks),Elite 2 Lvl 1,0
,,Optical Refraction Accessory,Drones are hidden for 22 (+2) seconds after deployment (will not be targeted by ranged attacks),Elite 2 Lvl 1,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
