Characters,BuffId,Skill Name,RoomType,BuffCategory,Skill Description,Skill Description (Formatted)
None,,Technical Cooperation,CONTROL,FUNCTION,"When stationed at the Command Center, production efficiency of all Craft Stations +7%","When stationed at the Command Center, production efficiency of all Craft Stations <@cc.vup>+7%</>"
Amiya,control_tra_spd[000],Cooperation Agreement,CONTROL,FUNCTION,"When stationed at the Command Center, order acquisition efficiency of all Trade Stations +7% (Only highest effect becomes active)","When stationed at the Command Center, order acquisition efficiency of all Trade Stations <@cc.vup>+7%</> (Only highest effect becomes active)"
Swire,control_tra_spd[010],Little Missy,CONTROL,FUNCTION,"When stationed at the Command Center, order acquisition efficiency of all Trade Stations +7% (Only highest effect becomes active)","When stationed at the Command Center, order acquisition efficiency of all Trade Stations <@cc.vup>+7%</> (Only highest effect becomes active)"
Aak,control_clue_cost[000],Neurotic,CONTROL,FUNCTION,"When stationed at the Command Center, increase the bias of operators in Reception finding clues from their own faction, however greatly increase mood reduction per hour of all operatives in the Command Center","When stationed at the Command Center, <@cc.kw>increase</> the bias of operators in Reception <@cc.kw>finding clues from their own faction</>, however <@cc.vdown>greatly increase mood reduction per hour</> of all operatives in the Command Center"
Leizi,control_clue_cost[010],Perceptive,CONTROL,FUNCTION,"When stationed at the Command Center, slightly increase the bias of operators in Reception finding clues from their own faction, however slightly increase mood reduction per hour of all operatives in the Command Center","When stationed at the Command Center, <@cc.kw>slightly increase</> the bias of operators in Reception <@cc.kw>finding clues from their own faction</>, however <@cc.vdown>slightly increase mood reduction per hour</> of all operatives in the Command Center"
Leizi,control_clue_cost[011],Keen Insight,CONTROL,FUNCTION,"When stationed at the Command Center, slightly increase the bias of operators in Reception finding clues from their own faction","When stationed at the Command Center, <@cc.kw>slightly increase</> the bias of operators in Reception <@cc.kw>finding clues from their own faction</>"
"Dobermann, Nearl",control_mp_cost[000],Competent,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05","When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center <@cc.vup>-0.05</>"
"Scavenger, Projekt Red",control_mp_cost[001],S.W.E.E.P.,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05","When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center <@cc.vup>-0.05</>"
Dur-nar,control_mp_cost[002],Snack Network,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05","When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center <@cc.vup>-0.05</>"
Executor,control_mp_cost[003],Cleanup Agreement,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05","When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center <@cc.vup>-0.05</>"
Reed,control_mp_cost[004],Substitute,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05","When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center <@cc.vup>-0.05</>"
GreyThroat,control_mp_cost[005],Necessary Responsibility,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center -0.05","When stationed at the Command Center, mood reduction per hour of all operatives in the Command Center <@cc.vup>-0.05</>"
Ch'en,control_mp_cost&faction[000],Ability & Integrity,CONTROL,FUNCTION,"When stationed at the Command Center, for every operator from Lungmen Guard Bureau in the Command Center, mood reduction per hour of all operators in the Command Center -0.05","When stationed at the Command Center, for every operator from <@cc.kw>Lungmen Guard Bureau</> in the Command Center, mood reduction per hour of all operators in the Command Center <@cc.vup>-0.05</>"
Poca,control_mp_cost&faction[020],Student Council Leader,CONTROL,FUNCTION,"When stationed at the Command Center, for every operator from Ursus Student Council in the Command Center, mood reduction per hour of all operators in the Command Center -0.05","When stationed at the Command Center, for every operator from <@cc.kw>Ursus Student Council</> in the Command Center, mood reduction per hour of all operators in the Command Center <@cc.vup>-0.05</>"
Hung,control_mp_cost&faction2[000],Amiable Fortitude,CONTROL,FUNCTION,"When stationed at the Command Center, for every operator from Li's Detective Agency in the Command Center, mood reduction per hour of all operators in the Command Center -0.05, and additionally reduce the mood reduction per hour of operators from that faction.","When stationed at the Command Center, for every operator from <@cc.kw>Li's Detective Agency</> in the Command Center, mood reduction per hour of all operators in the Command Center <@cc.vup>-0.05</>, and <@cc.kw>additionally reduce the mood reduction per hour</> of operators from that faction."
Thermal-EX,power_rec_spd&cost[000],Enthusiasm,POWER,OUTPUT,"When stationed at a Power Station, mood reduction per hour -0.52","When stationed at a Power Station, mood reduction per hour <@cc.vup>-0.52</>"
"Lancet-2, Castle-3, Thermal-EX",power_rec_spd[000],Backup Generator,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +10%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+10%</>"
Shaw,power_rec_spd[001],Equipment Maintenance,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+15%</>"
Greyy,power_rec_spd[002],Static Field,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +20%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+20%</>"
Purestream,power_rec_spd[003],Clean Energy,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+15%</>"
"Lava, Ifrit, Blaze",power_rec_spd[010],Thermal Energy·α,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +10%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+10%</>"
